ROBOT,PERCEPTION,TACTILE_MOBILITY,NONVERBAL,WARMTH,COMPETENCE,DISCOMFORT,AMBIGUITY,ATYPICALITY,MASCULINE,FEMININE,IDENTIFY,LIKEABILITY,METAPHOR1_NAME,METAPHOR1_COUNT,METAPHOR1_RATING,METAPHOR2_NAME,METAPHOR2_COUNT,METAPHOR2_RATING,METAPHOR3_NAME,METAPHOR3_COUNTS,METAPHOR3_RATING,ENTROPY_COUNTS,ENTROPY_RATINGS,ROLE
K5,-0.2625,0.125,-1.3,-1.4625,0.5125,-0.3125,5.5,4.35,-0.6,-1.5,3.05,4.9,a rocket,7,6.894736842,R2-D2 from the Star Wars franchise,3,5.35,"a Dalek from the show ""Doctor Who""",2,5.2,0.9596147939,1.090162803,4.3
Kaspar,0.05,0.475,-0.0125,-0.3382352941,0.3235294118,0.1764705882,3.9,4.65,0.4705882353,-1.941176471,2.588235294,3.352941177,a doll,5,7.6,a toddler,3,6.1,"Chucky from ""Child's Play""",3,5.65,1.067089519,1.090426682,2.705882353
Keepon,-0.9868421053,-1.368421053,-1.302631579,-0.484375,-0.125,-0.5625,5.578947368,7,-2.0625,-0.8125,2.625,4.125,a rubber duck,5,6.368421053,a marshmallow,3,4.052631579,Tweety Bird from Looney Toons,3,4.052631579,1.067089519,1.074092221,2.3125
Kibo,-0.4705882353,1.911764706,-0.0147058824,-0.6447368421,1.381578947,-0.3684210526,4.117647059,4.352941177,0.3684210526,-1.157894737,3.421052632,5.421052632,an astronaut,6,6.352941177,a person,5,4.647058824,a turtle,2,3.705882353,1.012330839,1.073964755,3.789473684
Kiki,-0.2083333333,-1.152777778,-1.055555556,-0.4861111111,1,-1.791666667,6.111111111,5.444444444,-1.666666667,-0.6111111111,3.388888889,5.777777778,a cat,8,5.833333333,a dog,3,3.888888889,a racoon,2,6,0.9251290836,1.081027547,2.777777778
Kirobo,-0.175,1.1625,-0.2375,-1.220588235,0.7794117647,-0.7647058824,3.25,3.85,-0.1176470588,-1.588235294,3.823529412,5.764705882,a child,3,5.15,an alien,2,5.75,"Astro Boy from the anime ""Astro Boy""",1,5.1,1.011404265,1.097097535,2.647058824
Kismet,-0.671875,-0.453125,-0.5,-1.452380952,-0.1547619048,0.6071428571,6.375,6.625,-0.380952381,-1.142857143,2.190476191,3.904761905,"Gizmo from the movie ""Gremlins""",4,6.25,a chimpanzee,2,3.8125,a chihuahua,1,2.9375,0.9556998911,1.047935861,2.571428571
Kiwi,-1.5,-1.140625,-1.8125,-0.4342105263,0.1578947368,-0.24,5.75,7,-1.631578947,0.3157894737,1.684210526,3.578947368,an owl,4,5.375,a parrot,3,3.5,a hula dancer,2,3.1875,1.060856947,1.070893974,2.631578947
KK-X1,-0.1388888889,1.555555556,-0.5277777778,-1.35,1.175,-0.8625,5,4,-0.3,-1.5,2.9,4.95,a man,5,4.944444444,"Rosey the robot from the show ""The Jetsons""",3,5.333333333,a vacuum cleaner,1,2.5,0.9368883075,1.051271155,3.05
Kobian,-0.475,1.2125,-0.4125,-0.5,1.041666667,0.3055555556,3.95,4.35,0.2777777778,-0.8888888889,4.333333333,4.611111111,a clown,6,5.05,an exercise instructor,3,2.75,a doll,1,4.3,0.8979457249,1.069084979,4.055555556
Kodomoroid,0.45,1.2875,0.375,-0.109375,1.1875,-0.265625,3.5,4.65,-2.4375,1.75,3.125,4.4375,a woman,8,7.5,a mannequin,2,7.05,a doll,2,6.05,0.8675632285,1.094661469,3.625
Kuri,-1.223684211,-0.1052631579,-1.118421053,-1.296875,1.015625,-1.765625,4.578947368,5.157894737,-1.9375,-0.9375,2.3125,5.75,a penguin,3,5.52631579,"Rosey the robot from the show ""The Jetsons""",2,5.052631579,a Roomba,2,2.736842105,1.078992208,1.057864048,2.0625
Leka,-1.058823529,-1.558823529,-1.397058824,-0.6785714286,0.5714285714,-0.9047619048,6.470588235,6.470588235,-1.761904762,0.6666666667,2.904761905,5.380952381,a ball,10,6.588235294,a clock,1,4.647058824,a Tamagotchi,1,5.705882353,0.566085739,1.088636804,2.333333333
